ID	popLabel	validGT	missGTAdj	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	pc11	pc12	pc13	pc14	pc15	pc16	pc17	pc18	pc19	pc20
LUN154	LUN154	168595	1.0000	12358.802	2682.224	562.404	3916.462	1434.417	371.769	906.782	3247.444	-102.263	1222.898	494.842	1564.224	-914.746	4003.038	2908.320	-973.402	134.020	-950.727	-3369.559	1394.806
LUN155	LUN155	168595	1.0000	8548.348	6871.101	2266.687	4083.519	3562.031	-4105.821	1340.400	-5151.260	2789.572	1621.091	-1267.499	-3647.127	-181.442	1365.346	162.708	-1087.703	-3756.087	-4446.373	-6535.903	3796.849
LUN156	LUN156	168595	1.0000	4793.961	2754.252	2301.532	3724.012	-1772.839	1304.700	-2373.474	3193.366	-2663.723	1507.086	4327.499	5473.552	140.755	2535.433	-3658.670	-3320.204	-431.014	5925.606	-6347.571	-2942.184
LUN157	LUN157	168595	1.0000	8442.187	3619.279	1166.988	3197.826	2734.623	-3622.258	-1145.833	-738.162	3949.257	1738.049	1045.858	3281.801	-480.030	-3412.625	-5319.971	2096.051	1561.347	-4087.894	-667.701	-3047.602
LUN158	LUN158	168595	1.0000	6821.298	5075.047	73.873	3304.085	5542.054	-1687.169	279.174	-5966.816	4649.321	3723.458	-942.048	-562.647	-3424.271	-3578.003	931.847	3435.085	740.408	1689.183	-547.039	980.724
LUN159	LUN159	168595	1.0000	9974.081	-4355.247	-9465.951	1424.418	-255.462	-1897.655	-4363.944	805.195	5637.113	-304.090	1971.599	953.325	1827.716	2993.493	3415.322	1814.722	567.196	-1630.584	-2957.028	1367.313
LUN160	LUN160	168595	1.0000	7003.514	3942.392	-679.360	2515.236	4162.023	-3912.438	-970.069	-6085.249	2186.438	4158.415	1996.765	-1761.008	1447.633	-517.597	-335.200	1299.883	-3631.467	-2734.535	-2301.929	-4304.414
LUN161	LUN161	168595	1.0000	13376.625	2681.824	4501.396	3493.886	-3368.863	-1144.618	4172.587	2785.821	1121.979	1959.297	-863.935	1862.571	-3799.114	-2597.890	-803.689	-233.359	1009.573	571.887	-2108.020	-2189.727
LUN162	LUN162	168595	1.0000	10111.743	2450.017	2745.467	1176.085	2615.726	1636.368	1423.282	6157.481	-1643.597	670.893	1395.259	1230.629	-509.664	2344.798	1479.143	2898.092	-1399.522	944.945	1087.498	2905.392
LUN163	LUN163	168595	1.0000	7267.642	3200.576	1669.495	1571.697	4169.870	-4971.409	633.953	-6270.036	-132.481	1985.158	-3337.033	751.175	-371.009	-403.810	-541.487	1733.674	3535.945	-2303.587	-3544.542	-1451.843
LUN164	LUN164	168595	1.0000	-1028.693	6625.145	-672.087	-1971.465	1525.871	904.151	680.102	-2672.220	-1355.216	-2075.126	213.250	-362.854	3821.026	-1311.907	4618.488	579.809	4019.475	4250.772	-748.259	-1569.455
LUN166	LUN166	168595	1.0000	6617.595	4384.697	2802.763	2345.137	2676.495	-318.050	64.221	911.924	780.130	-2688.429	314.186	-4134.813	3959.197	1597.813	892.527	1878.956	-117.931	-4107.892	823.051	-4798.822
LUN167	LUN167	168595	1.0000	-126.336	5828.555	3281.116	1662.109	3431.688	-3344.404	-605.498	-1398.102	1241.507	1397.214	-3744.349	-1436.486	1304.504	573.048	4864.297	-103.300	3491.785	-1833.635	1123.481	119.396
LUN168	LUN168	168595	1.0000	-7403.162	5112.280	-2504.651	-6259.373	-991.211	197.783	1660.233	-1496.328	-2515.862	-1472.751	-4278.183	-2008.383	-1813.178	2020.593	2199.890	2490.852	-2626.268	-4089.256	3773.788	-1327.075
LUN169	LUN169	168595	1.0000	-3029.031	5427.354	772.890	-5812.746	-983.276	-3243.600	-1845.931	-4060.915	-3476.992	-511.456	1131.374	-1936.495	-3802.981	1172.748	-506.016	3510.868	-1983.216	-2310.726	-4264.819	-3018.297
LUN170	LUN170	168595	1.0000	10007.442	2924.944	2383.370	2724.082	3560.269	-3572.057	-1375.148	-3741.991	1246.923	-1926.409	-684.103	3429.420	602.222	691.648	3223.461	-610.878	3802.708	-522.634	538.987	-4670.886
LUN171	LUN171	168595	1.0000	4680.636	8615.433	-248.509	-644.993	-3529.735	-608.677	643.109	-1498.245	307.379	-1106.586	2356.537	-1897.316	-4702.080	1252.920	-2495.858	-2565.177	-1185.552	-4317.123	161.649	-590.038
LUN172	LUN172	168595	1.0000	4930.166	5157.473	1985.227	477.204	3054.058	-3548.906	-1867.596	-1980.004	-1083.572	-3466.749	-1162.990	3454.310	-1666.388	779.619	-2698.372	-359.845	-567.162	1285.298	-2015.538	-1901.240
LUN173	LUN173	168595	1.0000	9756.520	3333.423	843.111	5328.176	5646.063	189.770	-324.066	-861.658	-2280.363	1766.669	-4870.540	3934.197	3496.099	2793.483	-4065.945	-6611.991	377.299	817.033	-1857.400	-272.866
LUN174	LUN174	168595	1.0000	7036.041	6956.334	5160.050	4355.081	880.789	-3916.113	825.413	-6444.574	2210.948	3586.058	1928.894	5858.907	5584.476	2922.229	-1665.038	2893.991	5487.008	1422.060	-3258.905	-1169.533
LUN175	LUN175	168595	1.0000	15230.199	2442.925	5139.989	5032.324	7296.349	-397.849	-454.266	5604.387	149.433	1530.814	-1608.142	728.326	1161.293	34.574	5857.440	-665.276	-1184.552	-875.725	-4181.498	3859.799
