ID	popLabel	validGT	missGTAdj	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	pc11	pc12	pc13	pc14	pc15	pc16	pc17	pc18	pc19	pc20
Azeri_Iran:azerB61	Azeri	168595	1	-33837.28	-19288.771	14064.289	12796.67	-3038.212	-539.251	-2538.641	1593.022	4913.948	8566.291	-3998.549	-2788.925	-1316.792	6975.358	4523.082	-3259.138	-343.848	3472.182	1041.266	2459.874
Azeri_Iran:azerB64	Azeri	168591	1	-34348.537	-21822.613	13831.977	14663.49	-3067.863	326.014	-1552.389	4495.981	8456.38	9602.645	-4550.018	3982.742	-6656.247	-500.066	-1429.344	4433.671	2781.82	-3202.177	-7930.208	6369.067
Azeri_Iran:azerb72	Azeri	168589	1.0001	-34215.946	-21950.633	14456.444	14162.542	-1986.106	-652.367	-2275.84	5488.525	12929.281	5917.347	-975.119	780.089	-186.626	2706.347	-6158.423	-1.794	336.778	4285.433	-6985.95	-5394.968
Azeri_Iran:azerbaijani13_1m	Azeri	168499	1.0006	-33873.728	-20330.624	13029.363	14244.396	-3762.014	-270.826	-3428.015	963.696	5662.067	12291.565	-6614.123	-3251.26	6158.361	319.22	-1546.637	-1886.508	6110.094	-786.824	-11431.067	4354.558
Azeri_Iran:azerbaijani14_1m	Azeri	168510	1.0005	-28863.266	-16894.491	12178.177	16909.578	-4616.453	-3639.798	550.473	-2366.694	7589.525	3223.207	7885.312	-1431.418	4252.649	1460.14	-5172.695	-836.277	51.031	4699.508	-7144.62	3326.535
Azeri_Iran:azerE1	Azeri	168590	1.0001	-32760.371	-21124.618	12249.498	12521.428	-3329.059	-1161.945	-1876.936	2903.61	10993.831	1839.802	-4667.4	-2483.861	-1473.807	4524.196	-344.88	-5108.324	2771.836	1167.306	-1488.533	-7321.799
Azeri_Iran:azerE3	Azeri	168169	1.0026	-34072.505	-17823.389	14169.507	14180.233	-3264.578	296.696	-2225.982	1893.517	10752.785	3383.413	-1898.365	-3158.254	765.708	1861.186	1910.996	-7021.79	6667.263	5514.598	-5809.841	8131.364
Azeri_Iran:azerE6	Azeri	168563	1.0002	-33983.27	-19614.774	13652.24	11942.86	-4318.955	-365.364	-2708.093	4741.595	10868.764	6649.61	-3380.386	2789.319	-2168.486	9219.023	2130.32	-8222.564	-2009.144	-3969.043	1641.815	7216.222
Azeri_Iran:azerE70	Azeri	168566	1.0002	-35420.965	-20050.887	14059.829	13381.171	-3471.541	-48.076	-1706.114	3993.63	12915.753	6061.831	1698.282	-7559.93	1750.944	-2068.624	4390.397	-8594.894	2086.289	3032.866	-8267.169	-3246.361
Azeri_Iran:azerE82	Azeri	168596	1	-32787.435	-21894.403	13328.078	14377.736	-4053.663	52.25	-145.682	-1637.882	6118.88	4594.281	-5224.172	1401.804	5394.9	4308.439	5949.679	-3677.231	987.779	511.722	-3192.846	-427.221
Azeri_Iran:azerE85	Azeri	168533	1.0004	-33644.502	-20426	11560.728	13421.731	210.297	857.295	1016.704	5271.782	9554.663	5460.842	-6173.948	-3644.614	-2638.517	8098.372	-1181.942	5683.414	6638.627	3683.612	-3686.264	289.405
Azeri_Iran:azerE89	Azeri	168517	1.0005	-32234.372	-19494.751	14013.876	12228.421	-5458.614	-3027.188	846.857	5906.759	10754.297	2143.411	-6227.126	7772.213	-4671.473	150.004	2913.198	-5667.532	850.202	-3522.136	-5963.119	9585.534
Azeri_Iran:azerE92	Azeri	168593	1	-34570.96	-21550.962	13709.687	14254.159	-3310.876	73.864	189.771	2315.134	7343.781	8195.399	-6473.948	-6060.996	-1450.342	1895.121	-2360.743	-1171.383	776.432	-301.135	-3317.547	6950.736
